cycle,Allele Frequency,Lineages
5001,0.001,0
5002,0.0005,2
5004,0.0025,1
5007,0.004,3
5008,0.0035,2
5010,0.006,3
5011,0.006,2
5014,0.0045,3
5015,0.0055,5
5016,0.0045,4
5018,0.005,3
5019,0.005,4
5021,0.0055,3
5022,0.008,4
5023,0.0085,3
5024,0.0115,2
5025,0.0115,4
5027,0.011,3
5028,0.01,2
5029,0.008,4
5030,0.008,3
5032,0.012,4
5033,0.01,5
5035,0.0075,4
5037,0.005,3
5039,0.006,2
5040,0.0045,3
5041,0.004,2
5042,0.0065,3
5043,0.005,4
5044,0.005,5
5045,0.0045,4
5052,0.018,2
5053,0.02,3
5054,0.0205,4
5057,0.0115,2
5058,0.013,4
5059,0.016,3
5060,0.0145,5
5061,0.013,4
5062,0.017,3
5063,0.026,5
5067,0.033,4
5068,0.043,6
5069,0.049,5
5071,0.0415,6
5073,0.0475,7
5076,0.0505,6
5078,0.0635,7
5079,0.06,6
5080,0.0655,7
5081,0.0725,6
5082,0.0775,7
5086,0.0855,6
5088,0.089,5
5089,0.0925,4
5091,0.101,5
5092,0.116,6
5093,0.1085,7
5096,0.119,8
5097,0.113,7
5104,0.143,6
5105,0.1485,7
5108,0.1675,8
5109,0.172,9
5110,0.1735,8
5111,0.1865,9
5112,0.181,11
5113,0.189,10
5114,0.191,12
5115,0.189,11
5119,0.209,9
5120,0.211,11
5123,0.1935,9
5125,0.2015,8
5128,0.2085,7
5129,0.219,9
5131,0.226,8
5132,0.241,7
5137,0.248,6
5143,0.2975,8
5146,0.3225,9
5147,0.3205,10
5148,0.33,9
5149,0.3405,10
5150,0.3445,9
5155,0.3585,8
5156,0.3595,9
5157,0.3755,10
5158,0.377,9
5159,0.3915,10
5161,0.4025,11
5162,0.3965,13
5163,0.4135,14
5165,0.4415,15
5166,0.46,12
5167,0.464,11
5168,0.4605,14
5170,0.468,12
5171,0.472,13
5172,0.4615,11
5173,0.455,12
5176,0.469,11
5178,0.4725,10
5179,0.4735,11
5180,0.4895,12
5182,0.5185,10
5184,0.5375,11
5188,0.59,9
5190,0.604,10
5191,0.627,9
5193,0.606,8
5195,0.6,7
5196,0.598,8
5198,0.6105,10
5199,0.612,11
5201,0.6365,10
5202,0.6455,9
5203,0.6565,10
5205,0.6675,8
5207,0.669,9
5208,0.686,10
5211,0.711,9
5211,0.711,11
