name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population,method
1_13_1000_0.00025_2.5e-05_0.5_100,0.1681266846361186,0.8004919653829868,0.173361284079102,0.2637666666645963,24,24,14,12,10,5,5,9671.172513958849,9671.172513958849,4321.157936866561,3479.391523090576,2708.306100095884,1089.8982193906686,683.1520405560142,1000,106,1030.0,MEOWSS
1_16_1000_0.0025_2.5e-05_0.5_100,0.6333333333333333,0.9037198223368436,0.5545288616178077,0.662070635926531,25,25,18,12,8,17,35,1113.5172584374636,1113.5172584374636,661.1769608924245,365.15844089178455,208.9728667589935,606.3966642997242,705.1424072834494,1000,94,1002.0,MEOWSS
1_15_1000_0.00025_0.0025_0.5_100,0.035608135972664,0.7190689981096408,0.003562950280497,0.1333204874393855,70,70,22,10,7,3,5,75884.12865686275,75884.12865686275,8076.972573066014,2631.6036547285626,1641.9495890478522,563.5599624061238,680.0656358344287,1000,115,1060.0,MEOWSS
1_14_1000_0.00025_0.00025_0.5_100,0.0891632373113854,0.9480958230958232,0.0478541721366415,0.2118067654028395,43,43,16,13,6,4,6,26442.69144300219,26442.69144300219,5191.262120996747,3862.081650325517,1369.8530676586004,817.8753212095986,845.3890759573864,1000,108,1021.0,MEOWSS
1_17_1000_0.0025_0.00025_0.5_100,0.3698581560283687,0.8204185501168572,0.1397568246401257,0.4029270154334056,42,42,21,9,4,20,35,2914.4628381773205,2914.4628381773205,839.652397904082,245.04836658212227,84.79615108567437,777.7340970595991,703.2227257893901,1000,94,1013.0,MEOWSS
1_15_1000_0.00025_0.0025_0.7_100,0.0370806277056277,0.690057612323752,0.0020373368465424,0.1297706817694835,63,63,26,14,11,3,3,47250.35681735364,47250.35681735364,9693.494528612471,3958.821957536962,2852.7782483586197,546.2962537778795,362.0652314453815,1000,132,1436.0,MEOWSS
1_14_1000_0.00025_0.00025_0.7_100,0.06599918117881,0.7819267009396287,0.0246085449511823,0.1671797137087887,39,39,25,20,13,5,6,17189.4615303059,17189.4615303059,8594.212119632151,6215.48278029686,3425.0598430649616,997.35348857678,801.0812211532465,1000,149,1433.0,MEOWSS
1_13_1000_0.00025_2.5e-05_0.7_100,0.2478873239436619,0.5871592450631391,0.0727869834437785,0.272513061036601,17,17,10,8,5,6,6,5039.408203981896,5039.408203981896,2453.7919628479485,1833.9400503130628,1009.3702881504582,1269.5563670916083,802.0329929576959,1000,142,1422.0,MEOWSS
1_17_1000_0.0025_0.00025_0.7_100,0.2319634703196347,0.3876253594512607,0.0216583262125757,0.2237669820733198,36,36,23,18,15,17,20,1527.3933708865056,1527.3933708865056,767.451622306475,539.9559987198131,419.1208386565445,498.39466480530496,330.1937601185309,1000,146,1407.0,MEOWSS
1_16_1000_0.0025_2.5e-05_0.7_100,0.5142191142191143,0.8048960149162578,0.3983847206783441,0.5404454902925703,28,28,19,13,11,18,19,1040.6295249846437,1040.6295249846437,587.9245734715365,347.4681921752985,277.7374898475954,544.5623884010175,310.71828502639295,1000,143,1403.0,MEOWSS
2_16_1000_0.0025_2.5e-05_0.5_100,0.5620748299319727,0.8868835034013606,0.3469518926684986,0.5785276903628598,31,31,14,10,9,23,34,1562.4563150310898,1562.4563150310898,446.9608409971874,278.7046795186697,241.42064405458223,946.7749675438546,674.9739533922623,1000,98,1033.0,MEOWSS
2_17_1000_0.0025_0.00025_0.5_100,0.3436170212765957,0.7081729523157033,0.1438996160686612,0.3683428001512717,41,41,21,15,6,23,33,2770.069736631678,2770.069736631678,839.652397904082,503.521376763284,142.781512607703,971.1659134697712,654.2612669546811,1000,94,1008.0,MEOWSS
2_13_1000_0.00025_2.5e-05_0.5_100,0.3932436611008039,0.8265059257632152,0.3391697814543228,0.4501219188531934,20,20,9,7,7,6,7,7600.307055644903,7600.307055644903,2414.2064405458227,1725.4385869153298,1725.4385869153298,1409.851725932502,1005.8559487900876,1000,98,1058.0,MEOWSS
2_15_1000_0.00025_0.0025_0.5_100,0.0676450565563468,0.7540068659042565,0.0143399305031267,0.1626035590505503,70,70,16,6,4,6,8,109541.08714265078,109541.08714265078,5429.014444963308,1409.851725932502,838.6765490200756,1409.851725932502,1183.370575983764,1000,98,1020.0,MEOWSS
2_14_1000_0.00025_0.00025_0.5_100,0.136660724896019,0.9748635783118542,0.1092902763310663,0.2582855856236514,37,37,16,12,10,3,4,21436.511140663584,21436.511140663584,5403.036852732416,3575.021368660183,2776.5725278990017,583.7365970418605,528.1756849886057,1000,99,1027.0,MEOWSS
2_13_1000_0.00025_2.5e-05_0.7_100,0.1943783068783068,0.849079501653031,0.0842693971871875,0.2760671496408476,21,21,16,12,9,6,6,6765.795855363229,6765.795855363229,4605.616089974188,3112.12172548213,2128.015042148303,1264.863618814135,802.643784730219,1000,144,1415.0,MEOWSS
2_14_1000_0.00025_0.00025_0.7_100,0.052129817444219,0.9362068965517244,0.0108693637781114,0.1785523112604287,35,35,19,16,13,3,5,14655.294367208771,14655.294367208771,5844.93706574274,4593.323502396476,3457.7350759815326,535.1823986027639,650.6008652659624,1000,145,1415.0,MEOWSS
2_15_1000_0.00025_0.0025_0.7_100,0.0554834957838712,0.6489761337756644,0.0090467862905895,0.1375418850586479,72,72,33,16,9,6,7,58949.58174445453,58949.58174445453,13561.517493873567,4643.468681612694,2141.7226891155456,1271.9422662851157,959.819866295088,1000,141,1410.0,MEOWSS
2_16_1000_0.0025_2.5e-05_0.7_100,0.3630536130536131,0.6175874389627137,0.1149355045654733,0.3640159706667572,26,26,20,13,11,16,31,929.9304178161389,929.9304178161389,632.6263438195932,347.4681921752985,277.7374898475954,461.80688085960406,559.7829127707134,1000,143,1417.0,MEOWSS
3_16_1000_0.0025_2.5e-05_0.5_100,0.582013201320132,0.8821048771543822,0.4252810565931788,0.6035171309862265,27,27,12,10,7,16,28,1206.701025083029,1206.701025083029,354.6422111428059,275.61924566856226,170.8984191874777,535.2662842262765,534.4532531292886,1000,101,1002.0,MEOWSS
