name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
1_15_1000_0.00025_0.0025_0.5_100,0.03335748792270532,0.7568985846555798,0.001563795050134644,0.13711959850175087,73,73,26,9,5,3,5,85962.60379920818,85962.60379920818,10468.215546969217,2285.37856728137,1066.053553675988,563.5599624061238,680.0656358344287,1000,115,1060 
1_13_1000_0.00025_2.5e-05_0.5_100,0.45660377358490567,0.8541558856877053,0.25431447069282787,0.48589319496651395,9,9,8,7,7,5,5,2349.0410279811654,2349.0410279811654,2007.329945421699,1683.3317289779275,1683.3317289779275,1089.8982193906686,683.1520405560142,1000,106,1030 
1_14_1000_0.00025_0.00025_0.5_100,0.10348583877995643,0.9559872372372373,0.036870493167438796,0.2213687467066709,33,33,15,10,5,4,6,16202.152703284508,16202.152703284508,4730.378274651708,2690.2745602532164,1084.3250280675397,817.8753212095986,845.3890759573864,1000,108,1021 
1_14_1000_0.00025_0.00025_0.7_100,0.07159202234212103,0.817246286426788,0.0114187588621864,0.17441417243283092,42,42,26,19,13,5,6,19459.024232876673,19459.024232876673,9110.420844278486,5778.996057500205,3425.0598430649616,997.3534885767799,801.0812211532465,1000,149,1433 
1_13_1000_0.00025_2.5e-05_0.7_100,0.4363849765258216,0.8422229330892517,0.13085249137514568,0.4514307972377347,12,12,9,7,6,6,6,3127.0096565561066,3127.0096565561066,2137.0994951370344,1544.6160612303695,1269.5563670916083,1269.5563670916083,802.0329929576959,1000,142,1422 
1_15_1000_0.00025_0.0025_0.7_100,0.03350578960335058,0.7058646019456025,0.0007291194768488088,0.12944311093571312,69,69,33,18,6,3,3,58363.62477214019,58363.62477214019,14122.704151387508,5631.758033155462,1294.6981356863084,546.2962537778795,362.0652314453815,1000,132,1436 
1_16_1000_0.0025_2.5e-05_0.5_100,0.6457446808510638,0.9787234042553192,0.5283166100334575,0.6780772787390612,24,24,19,12,9,17,35,1040.9384643275744,1040.9384643275744,718.2668141460788,365.15844089178455,245.04836658212227,606.3966642997242,705.1424072834494,1000,94,1002 
2_13_1000_0.00025_2.5e-05_0.5_100,0.4772108843537415,0.7462850075094973,0.2548849142711687,0.48422310731471896,13,13,9,7,7,6,7,4019.900752819856,4019.900752819856,2414.2064405458227,1725.4385869153298,1725.4385869153298,1409.851725932502,1005.8559487900875,1000,98,1058 
2_15_1000_0.00025_0.0025_0.5_100,0.07104332772535538,0.6793703598770453,0.011325893733959798,0.15333476744939953,61,61,21,6,4,6,8,69039.65409303902,69039.65409303902,8198.927267765097,1409.851725932502,838.6765490200756,1409.851725932502,1183.370575983764,1000,98,1020 
2_14_1000_0.00025_0.00025_0.5_100,0.1374349556167738,0.9629410993047357,0.10768891907362134,0.2567989716884952,35,35,20,13,11,3,4,19306.97604265163,19306.97604265163,7558.527640480381,4002.73791819993,3166.3610618572625,583.7365970418605,528.1756849886057,1000,99,1027 
1_17_1000_0.0025_0.00025_0.5_100,0.3247044917257683,0.7782110619876577,0.1511899804273623,0.36670330057029077,42,42,26,9,6,20,35,2914.4628381773205,2914.4628381773205,1189.0077011620288,245.04836658212227,142.781512607703,777.7340970595991,703.2227257893901,1000,94,1013 
2_13_1000_0.00025_2.5e-05_0.7_100,0.3489583333333333,0.6464455963140173,0.13925833465158377,0.3621264229781735,11,11,8,7,6,6,6,2771.0192403300093,2771.0192403300093,1826.4707568781123,1538.6095533742925,1264.863618814135,1264.863618814135,802.643784730219,1000,144,1415 
1_17_1000_0.0025_0.00025_0.7_100,0.19777125462056966,0.4819253228795033,0.02327486791478713,0.21421990685354234,53,53,33,19,15,17,20,2991.6446955952283,2991.6446955952283,1328.4534235053359,582.8124571741029,419.1208386565445,498.39466480530496,330.1937601185309,1000,146,1407 
2_14_1000_0.00025_0.00025_0.7_100,0.054838709677419356,0.9765517241379311,0.005007415482460687,0.18562096771725228,33,33,22,16,13,3,5,13338.164065993598,13338.164065993598,7215.24518874111,4593.323502396476,3457.7350759815326,535.1823986027639,650.6008652659624,1000,145,1415 
1_16_1000_0.0025_2.5e-05_0.7_100,0.506993006993007,0.7083937430091276,0.4009132173192006,0.5212911489443541,29,29,21,15,12,18,19,1098.2683945621743,1098.2683945621743,678.6826527799637,422.39405230204676,311.9519869544634,544.5623884010175,310.71828502639295,1000,143,1403 
3_15_1000_0.00025_0.0025_0.7_100,0.04865821628411556,0.6926842818771781,0.0010680047618885286,0.13812359439474087,73,73,35,13,10,5,5,62159.97031426162,62159.97031426162,15046.640080396932,3509.8810916391644,2470.5749222581885,1014.805840938493,651.1528534135543,1000,139,1407 
3_15_1000_0.00025_0.0025_0.5_100,0.06477645958524803,0.853832338638373,0.0005116922656210162,0.1734951263452727,68,68,21,4,1,5,6,103951.99088141651,103951.99088141651,8295.386518646754,843.2424125427566,155.6086238524778,1120.5374685969093,846.7548060721481,1000,96,1011 
2_15_1000_0.00025_0.0025_0.7_100,0.052164986935423666,0.6398151730066624,0.007850138032993661,0.13366528751074497,73,73,35,15,10,6,7,60917.90343906807,60917.90343906807,14911.767621000306,4246.472729557467,2459.3184120531055,1271.9422662851157,959.8198662950881,1000,141,1410 
3_14_1000_0.00025_0.00025_0.5_100,0.14637538864342986,0.5846636257354185,0.04502127325331402,0.1969155068987108,24,24,14,8,7,5,5,10204.458719763332,10204.458719763332,4489.859881049689,2067.4615224893378,1731.1162329742504,1117.2439845904498,685.6010610572027,1000,97,1007 
