AF,Simulation,Test,Comparison,p-value,adjusted_p,significant
0.5,13,ANOVA,all,1.168142070313758e-10,1.869027312502013e-09,True
0.5,13,t-test,SINGER vs phasedibd,1.9486225391968203e-11,6.235592125429825e-10,True
0.5,13,t-test,SINGER vs MEOWSS,0.00022481385905038473,0.0005995036241343592,True
0.5,13,t-test,phasedibd vs MEOWSS,0.0980435084453704,0.1364083595761675,False
0.5,14,ANOVA,all,3.049700587759071e-06,1.3003683852629462e-05,True
0.5,14,t-test,SINGER vs phasedibd,3.2509209631573656e-06,1.3003683852629462e-05,True
0.5,14,t-test,SINGER vs MEOWSS,0.0012076560622692517,0.00257633293284107,True
0.5,14,t-test,phasedibd vs MEOWSS,0.4699347093645564,0.5370682392737788,False
0.5,15,ANOVA,all,1.4821176723893754e-07,1.5809255172153339e-06,True
0.5,15,t-test,SINGER vs phasedibd,1.381139718877906e-06,8.839294200818598e-06,True
0.5,15,t-test,SINGER vs MEOWSS,1.7793588273944135e-05,5.176316588783748e-05,True
0.5,15,t-test,phasedibd vs MEOWSS,0.1668836610021332,0.20539527507954855,False
0.5,16,ANOVA,all,0.8957161429350463,0.9246102120619832,False
0.5,16,t-test,phasedibd vs MEOWSS,0.8861303852599232,0.9246102120619832,False
0.5,17,ANOVA,all,0.006808067868986363,0.012815186576915508,True
0.5,17,t-test,phasedibd vs MEOWSS,0.005217291846210822,0.010434583692421643,True
0.7,13,ANOVA,all,4.4068505656085765e-07,3.525480452486861e-06,True
0.7,13,t-test,SINGER vs phasedibd,8.474816337091865e-06,2.7119412278693968e-05,True
0.7,13,t-test,SINGER vs MEOWSS,0.0006465660986797872,0.0014778653684109422,True
0.7,13,t-test,phasedibd vs MEOWSS,0.10394283653498985,0.1385904487133198,False
0.7,14,ANOVA,all,2.534958736633424e-06,1.3003683852629462e-05,True
0.7,14,t-test,SINGER vs phasedibd,4.4760028995749054e-06,1.591467697626633e-05,True
0.7,14,t-test,SINGER vs MEOWSS,0.00034893078278337583,0.0008589065422360021,True
0.7,14,t-test,phasedibd vs MEOWSS,0.9601485070100471,0.9601485070100471,False
0.7,15,ANOVA,all,0.022183627660536453,0.0373618992177456,True
0.7,15,t-test,SINGER vs phasedibd,0.03128232235459265,0.05005171576734824,False
0.7,15,t-test,SINGER vs MEOWSS,0.01649704627098283,0.029328082259525032,True
0.7,15,t-test,phasedibd vs MEOWSS,0.6382893448247129,0.704319277047959,False
0.7,16,ANOVA,all,0.19179763212439888,0.2273157121474357,False
0.7,16,t-test,phasedibd vs MEOWSS,0.15031357435518822,0.19240137517464093,False
0.7,17,ANOVA,all,0.05524867337077033,0.08036170672112047,False
0.7,17,t-test,phasedibd vs MEOWSS,0.04548108898966778,0.06930451655568423,False
