name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
1_13_1000_0.00025_2.5e-05_0.5_100,0.1681266846361186,0.8004919653829868,0.17336128407910203,0.26376666666459636,24,24,14,12,10,5,5,9671.172513958849,9671.172513958849,4321.157936866561,3479.391523090576,2708.306100095884,1089.8982193906686,683.1520405560142,1000,106,1030 
1_16_1000_0.0025_2.5e-05_0.5_100,0.6333333333333333,0.9037198223368437,0.5545288616178077,0.662070635926531,25,25,18,12,8,17,35,1113.5172584374636,1113.5172584374636,661.1769608924245,365.15844089178455,208.9728667589935,606.3966642997242,705.1424072834494,1000,94,1002 
1_15_1000_0.00025_0.0025_0.5_100,0.03560813597266407,0.7190689981096408,0.003562950280497002,0.13332048743938552,70,70,22,10,7,3,5,75884.12865686275,75884.12865686275,8076.972573066014,2631.6036547285626,1641.9495890478522,563.5599624061238,680.0656358344287,1000,115,1060 
1_14_1000_0.00025_0.00025_0.5_100,0.08916323731138545,0.9480958230958232,0.04785417213664151,0.21180676540283955,43,43,16,13,6,4,6,26442.69144300219,26442.69144300219,5191.262120996747,3862.081650325517,1369.8530676586004,817.8753212095986,845.3890759573864,1000,108,1021 
1_17_1000_0.0025_0.00025_0.5_100,0.36985815602836875,0.8204185501168572,0.13975682464012573,0.4029270154334056,42,42,21,9,4,20,35,2914.4628381773205,2914.4628381773205,839.652397904082,245.04836658212227,84.79615108567437,777.7340970595991,703.2227257893901,1000,94,1013 
1_15_1000_0.00025_0.0025_0.7_100,0.03708062770562771,0.690057612323752,0.0020373368465424445,0.12977068176948356,63,63,26,14,11,3,3,47250.35681735364,47250.35681735364,9693.494528612473,3958.821957536962,2852.7782483586193,546.2962537778795,362.0652314453815,1000,132,1436 
1_14_1000_0.00025_0.00025_0.7_100,0.06599918117881007,0.7819267009396287,0.024608544951182358,0.1671797137087887,39,39,25,20,13,5,6,17189.4615303059,17189.4615303059,8594.212119632151,6215.48278029686,3425.0598430649616,997.3534885767799,801.0812211532465,1000,149,1433 
1_13_1000_0.00025_2.5e-05_0.7_100,0.24788732394366197,0.5871592450631391,0.07278698344377851,0.272513061036601,17,17,10,8,5,6,6,5039.408203981896,5039.408203981896,2453.7919628479485,1833.9400503130628,1009.3702881504582,1269.5563670916083,802.0329929576959,1000,142,1422 
1_17_1000_0.0025_0.00025_0.7_100,0.2319634703196347,0.38762535945126075,0.021658326212575758,0.2237669820733198,36,36,23,18,15,17,20,1527.3933708865056,1527.3933708865056,767.451622306475,539.9559987198131,419.1208386565445,498.39466480530496,330.1937601185309,1000,146,1407 
1_16_1000_0.0025_2.5e-05_0.7_100,0.5142191142191143,0.8048960149162578,0.3983847206783441,0.5404454902925703,28,28,19,13,11,18,19,1040.6295249846435,1040.6295249846435,587.9245734715365,347.4681921752985,277.7374898475954,544.5623884010175,310.71828502639295,1000,143,1403 
2_16_1000_0.0025_2.5e-05_0.5_100,0.5620748299319727,0.8868835034013606,0.3469518926684986,0.5785276903628598,31,31,14,10,9,23,34,1562.4563150310898,1562.4563150310898,446.9608409971874,278.7046795186697,241.42064405458225,946.7749675438546,674.9739533922623,1000,98,1033 
2_17_1000_0.0025_0.00025_0.5_100,0.3436170212765957,0.7081729523157033,0.1438996160686612,0.3683428001512717,41,41,21,15,6,23,33,2770.069736631678,2770.069736631678,839.652397904082,503.521376763284,142.781512607703,971.1659134697713,654.2612669546811,1000,94,1008 
2_13_1000_0.00025_2.5e-05_0.5_100,0.3932436611008039,0.8265059257632152,0.3391697814543228,0.45012191885319347,20,20,9,7,7,6,7,7600.307055644903,7600.307055644903,2414.2064405458227,1725.4385869153298,1725.4385869153298,1409.851725932502,1005.8559487900875,1000,98,1058 
2_15_1000_0.00025_0.0025_0.5_100,0.06764505655634687,0.7540068659042565,0.014339930503126723,0.1626035590505503,70,70,16,6,4,6,8,109541.08714265078,109541.08714265078,5429.014444963308,1409.851725932502,838.6765490200756,1409.851725932502,1183.370575983764,1000,98,1020 
2_14_1000_0.00025_0.00025_0.5_100,0.13666072489601902,0.9748635783118542,0.10929027633106635,0.2582855856236514,37,37,16,12,10,3,4,21436.511140663584,21436.511140663584,5403.036852732416,3575.021368660183,2776.5725278990017,583.7365970418605,528.1756849886057,1000,99,1027 
2_13_1000_0.00025_2.5e-05_0.7_100,0.19437830687830687,0.849079501653031,0.0842693971871875,0.2760671496408476,21,21,16,12,9,6,6,6765.795855363229,6765.795855363229,4605.616089974188,3112.12172548213,2128.015042148303,1264.863618814135,802.643784730219,1000,144,1415 
2_14_1000_0.00025_0.00025_0.7_100,0.052129817444219066,0.9362068965517243,0.010869363778111455,0.1785523112604287,35,35,19,16,13,3,5,14655.294367208773,14655.294367208773,5844.93706574274,4593.323502396476,3457.7350759815326,535.1823986027639,650.6008652659624,1000,145,1415 
2_15_1000_0.00025_0.0025_0.7_100,0.05548349578387125,0.6489761337756644,0.00904678629058959,0.13754188505864798,72,72,33,16,9,6,7,58949.58174445453,58949.58174445453,13561.517493873569,4643.468681612694,2141.7226891155456,1271.9422662851157,959.8198662950881,1000,141,1410 
2_16_1000_0.0025_2.5e-05_0.7_100,0.3630536130536131,0.6175874389627137,0.1149355045654733,0.3640159706667572,26,26,20,13,11,16,31,929.9304178161389,929.9304178161389,632.6263438195932,347.4681921752985,277.7374898475954,461.80688085960406,559.7829127707134,1000,143,1417 
3_16_1000_0.0025_2.5e-05_0.5_100,0.582013201320132,0.8821048771543822,0.4252810565931788,0.6035171309862265,27,27,12,10,7,16,28,1206.701025083029,1206.701025083029,354.6422111428059,275.61924566856226,170.8984191874777,535.2662842262765,534.4532531292886,1000,101,1002 
3_17_1000_0.0025_0.00025_0.5_100,0.22165324463118577,0.75644714662685,0.08420373783887598,0.28125490391168895,38,38,24,15,9,12,28,2323.5760240694267,2323.5760240694267,1027.1057564645478,498.618337393319,243.200526884655,362.00434255384937,532.9666734989481,1000,96,1014 
3_14_1000_0.00025_0.00025_0.7_100,0.0638924218335983,0.81813276749235,0.04677617279265807,0.17446103632627002,63,63,27,17,9,5,5,41464.94713188934,41464.94713188934,9673.46948684107,4957.27692938563,2110.4649297267665,999.0161642865627,651.4304046964561,1000,148,1403 
4_13_1000_0.00025_2.5e-05_0.5_100,0.3925170068027211,0.9551020408163265,0.4595179492895859,0.48695490327779156,26,26,14,8,7,10,11,11060.316953460668,11060.316953460668,4338.503519461649,2013.5676586368593,1688.2963462700645,2717.553331498303,1728.0751037956913,1000,105,1003 
4_16_1000_0.0025_2.5e-05_0.5_100,0.6535947712418301,0.8710918710918711,0.4535752566397092,0.6562164090290181,29,29,19,10,10,22,38,1351.6752912941931,1351.6752912941931,688.0000756230587,274.6275399364753,274.6275399364753,862.0996160123673,780.3023000538318,1000,102,1009 
4_14_1000_0.00025_0.00025_0.5_100,0.10710018774534903,0.7420138888888889,0.03139950509899293,0.19098214051992657,29,29,18,13,9,5,5,14457.464400775698,14457.464400775698,6648.949275762329,4111.110550064966,2459.9914072691804,1130.7632592379448,685.0623235920798,1000,93,1012 
4_15_1000_0.00025_0.0025_0.5_100,0.050162337662337665,0.8888747387669801,0.011809979506431091,0.17021634410464806,62,62,23,9,2,4,6,75715.10639867952,75715.10639867952,9586.709461659446,2432.0052688465503,357.3228635878246,843.2424125427566,847.5830556360867,1000,96,1005 
4_17_1000_0.0025_0.00025_0.5_100,0.36187106918238987,0.6334494040983956,0.1439573775062341,0.3699207656683674,42,42,23,12,8,23,40,2570.6373988661644,2570.6373988661644,904.3494797972149,347.9391523090576,200.7329945421699,904.3494797972149,826.4332928448129,1000,106,1037 
4_17_1000_0.0025_0.00025_0.7_100,0.3322843822843824,0.5622047661498761,0.16263672827093417,0.3413252917621891,50,50,31,17,12,24,34,2732.278787128478,2732.278787128478,1218.27427943989,502.52679012237945,311.9519869544634,825.1554926216086,626.9747358356142,1000,143,1414 
4_15_1000_0.00025_0.0025_0.7_100,0.03582905982905983,0.8044966777408638,0.001547283060303929,0.14598693600051701,69,69,37,19,13,4,5,49507.54370437644,49507.54370437644,15701.835745539935,5763.040817318294,3417.1331505252974,755.231633520166,649.0365851423699,1000,150,1438 
4_14_1000_0.00025_0.00025_0.7_100,0.06046957218027911,0.8276414712584926,0.007965880451122304,0.1676698032826376,51,51,29,15,12,4,4,28696.009827877715,28696.009827877715,11067.323515537979,4246.472729557467,3134.593001384902,766.2141011985723,503.76723375170803,1000,141,1414 
4_16_1000_0.0025_2.5e-05_0.7_100,0.5864779874213836,0.7008358079665822,0.43866281721150646,0.5814593849716818,32,32,20,14,13,23,27,1206.8959304742589,1206.8959304742589,604.8954031463177,370.02750188198326,334.97723865507317,738.352137811454,472.2029172248401,1000,159,1432 
4_13_1000_0.00025_2.5e-05_0.7_100,0.29389671361502345,0.7231664308017163,0.3113261837036396,0.36090159170631975,18,18,14,9,8,6,7,5461.392802213533,5461.392802213533,3852.6887606058785,2137.0994951370344,1833.9400503130628,1269.5563670916083,959.603900511957,1000,142,1412 
