N,Mutation Rate,Recombination Rate, file
100,0.00025,0.00025,1
100,0.00025,0.0025,2
100,0.00025,0.025,3
100,0.0025,0.00025,4
100,0.0025,0.0025,5
100,0.0025,0.025,6
100,0.025,0.00025,7
100,0.025,0.0025,8
100,0.025,0.025,9
1000,0.000025,0.000025,10
1000,0.000025,0.00025,11
1000,0.000025,0.0025,12
1000,0.00025,0.000025,13
1000,0.00025,0.00025,14
1000,0.00025,0.0025,15
1000,0.0025,0.000025,16
1000,0.0025,0.00025,17
1000,0.0025,0.0025,18
10000,0.0000025,0.0000025,19
10000,0.0000025,0.000025,20
10000,0.0000025,0.00025,21
10000,0.000025,0.0000025,22
10000,0.000025,0.000025,23
10000,0.000025,0.00025,24
10000,0.00025,0.0000025,25
10000,0.00025,0.000025,26
10000,0.00025,0.00025,27
